,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Caledonia-Fairbanks,43.6890256,-79.453512,Shoppers Drug Mart,43.690650720838846,-79.45631000555339,Pharmacy
1,Caledonia-Fairbanks,43.6890256,-79.453512,KFC,43.69064732256945,-79.456325832418,Fast Food Restaurant
2,Caledonia-Fairbanks,43.6890256,-79.453512,Nairn Park,43.69065390931841,-79.4562995791835,Park
3,Caledonia-Fairbanks,43.6890256,-79.453512,Maximum Woman,43.69065130310669,-79.45633320240984,Women's Store
4,Caledonia-Fairbanks,43.6890256,-79.453512,Walmart,43.690659578356374,-79.45631672044142,Market
5,Caledonia-Fairbanks,43.6890256,-79.453512,Fairbank Memorial Park,43.69202800194052,-79.44892353333186,Park
6,"Del Ray,Keelesdale,Mount Dennis,Silverthorn",43.6911158,-79.47601329999998,Subway,43.69000119168634,-79.4757628440857,Sandwich Place
7,"Del Ray,Keelesdale,Mount Dennis,Silverthorn",43.6911158,-79.47601329999998,El Nahual,43.6907629,-79.4737993,Restaurant
8,"Del Ray,Keelesdale,Mount Dennis,Silverthorn",43.6911158,-79.47601329999998,Dollar Tree,43.6902962,-79.4746668,Discount Store
9,"Del Ray,Keelesdale,Mount Dennis,Silverthorn",43.6911158,-79.47601329999998,Money Mart,43.69034605113051,-79.47238523508997,Check Cashing Service
10,Humewood-Cedarvale,43.6937813,-79.42819140000002,Cedarvale Park,43.692534923091934,-79.42870527613704,Field
11,Humewood-Cedarvale,43.6937813,-79.42819140000002,Cedarvale Tennis Courts,43.69274437001002,-79.43224439966453,Tennis Court
12,Humewood-Cedarvale,43.6937813,-79.42819140000002,Phil White Arena,43.69130271699826,-79.43176051142332,Hockey Arena
13,Humewood-Cedarvale,43.6937813,-79.42819140000002,Cedarvale Ravine,43.690188230007266,-79.42610580222994,Trail
14,"The Junction North,Runnymede",43.67318529999999,-79.48726190000002,Wonderfood,43.67235238324323,-79.49257115909873,Convenience Store
15,"The Junction North,Runnymede",43.67318529999999,-79.48726190000002,241 Pizza,43.6723510936904,-79.49263085092069,Pizza Place
16,"The Junction North,Runnymede",43.67318529999999,-79.48726190000002,195 Jane Rocket,43.672334850841,-79.49263389979957,Bus Line
17,"The Junction North,Runnymede",43.67318529999999,-79.48726190000002,Welcome Food Mart,43.66970140136457,-79.48349146580819,Grocery Store
18,Weston,43.706876,-79.51818840000001,Elm Park,43.70613889238497,-79.51586870967138,Park
19,Weston,43.706876,-79.51818840000001,Wallace C. Swanek Park,43.708896432967165,-79.52264785766602,Park
20,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Four Seasons Centre for the Performing Arts,43.650592,-79.385806,Concert Hall
21,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Nathan Phillips Square,43.65227047322295,-79.38351631164551,Plaza
22,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,The Keg Steakhouse & Bar,43.649937252985254,-79.38419604942506,Steakhouse
23,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Rosalinda,43.650252483069295,-79.38515575620075,Vegetarian / Vegan Restaurant
24,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Shangri-La Toronto,43.64912919417502,-79.3865566853963,Hotel
25,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Soho House Toronto,43.64873430659662,-79.38654117564838,Speakeasy
26,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,John & Sons Oyster House,43.65065642537144,-79.38161285228475,Seafood Restaurant
27,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Estiatorio Volos,43.65032912559998,-79.38453301297716,Greek Restaurant
28,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Boxcar Social Temperance,43.65055725249405,-79.38195634640063,Bar
29,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Bosk at Shangri-La,43.649022736761516,-79.38582635521233,Asian Restaurant
30,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,M Square Coffee Co,43.65121797253777,-79.38355459932247,Coffee Shop
31,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Assembly Chef's Hall,43.650578865093934,-79.3834119303614,Food Court
32,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Pizzeria Libretto,43.64833354686235,-79.38511050184168,Pizza Place
33,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Cafe Landwer,43.64875349932059,-79.3853673607289,Café
34,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Canadian Opera Company,43.6506601893789,-79.38624169559013,Opera House
35,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Adelaide Club Toronto,43.64927944291712,-79.38192123284551,Gym / Fitness Center
36,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Hy's Steakhouse,43.649504756476944,-79.38291850488223,Steakhouse
37,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Downtown Toronto,43.65323167517444,-79.38529600606677,Neighborhood
38,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Cactus Club Cafe,43.6495520142626,-79.38167072512041,American Restaurant
39,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Noodle King,43.65170632794881,-79.38304628912547,Asian Restaurant
40,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Lobby Lounge at the Shangri-La Toronto,43.64915499986854,-79.38654574367817,Lounge
41,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Momofuku Noodle Bar,43.6493658716176,-79.38621652451032,Noodle House
42,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,Ruth's Chris Steak House,43.6499174,-79.3857238,Steakhouse
43,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,JaBistro,43.64968685893743,-79.38809001547467,Sushi Restaurant
