,Unnamed: 0,Borough,Neighborhood,Address,Coordinates,latitude,longitude
0,0,1st arrondissement du Louvre,Saint-Germain-l'Auxerrois,"1st arrondissement du Louvre, 1st, Saint-Germain-l'Auxerrois","Saint-Germain l'Auxerrois, Accès Parking Saint-Germain l'Auxerrois, St-Germain-l'Auxerrois, 1er, Paris, Île-de-France, France métropolitaine, 75001, France",48.8596955,2.3406333
1,1,1st arrondissement du Louvre,Les Halles,"1st arrondissement du Louvre, 2nd , Les Halles","Les Halles, 1er, Paris, Île-de-France, France métropolitaine, 75001, France",48.8621566,2.344796128
2,2,1st arrondissement du Louvre,Palais-Royal,"1st arrondissement du Louvre, 3rd , Palais-Royal","Palais Royal, 1er, Paris, Île-de-France, France métropolitaine, 75001, France",48.864605100000006,2.336050684
3,3,1st arrondissement du Louvre,Place-Vendome,"1st arrondissement du Louvre, 4th , Place-Vendome","Place Vendôme, Vendôme, 1er, Paris, Île-de-France, France métropolitaine, 75001, France",48.867321600000004,2.3294834
4,4,2nd arrondissement de la Bourse,Gaillon,"2nd arrondissement de la Bourse, 5th, Gaillon","Gaillon, 2e, Paris, Île-de-France, France métropolitaine, 75002, France",48.86913515,2.33290877
5,5,2nd arrondissement de la Bourse,Vivienne,"2nd arrondissement de la Bourse, 6th , Vivienne","Vivienne, 2e, Paris, Île-de-France, France métropolitaine, 75002, France",48.86885895,2.339362558
6,6,2nd arrondissement de la Bourse,Mail,"2nd arrondissement de la Bourse, 7th , Mail",7e+Arrondissement+de+Paris,48.854829200000005,2.2939613999999997
7,7,2nd arrondissement de la Bourse,Bonne-Nouvelle,"2nd arrondissement de la Bourse, 8th , Bonne-Nouvelle","Bonne-Nouvelle, 2e, Paris, Île-de-France, France métropolitaine, 75002, France",48.8670566,2.350124944
8,8,3rd arrondissement du Temple,Arts-et-Metiers,"3rd arrondissement du Temple, 9th, Arts-et-Metiers","Arts+et+M�tiers,+75003+Paris",48.86635689999999,2.3489472
9,9,3rd arrondissement du Temple,Enfants-Rouges,"3rd arrondissement du Temple, 10th , Enfants-Rouges","Enfants Rouges, 3e, Paris, Île-de-France, France métropolitaine, 75003, France",48.8643317,2.362608441
10,10,3rd arrondissement du Temple,Archives,"3rd arrondissement du Temple, 11th , Archives","Archives, 3e, Paris, Île-de-France, France métropolitaine, 75003, France",48.85957135,2.362572744
11,11,3rd arrondissement du Temple,Sainte-Avoye,"3rd arrondissement du Temple, 12th , Sainte-Avoye","Ste-Avoye, 3e, Paris, Île-de-France, France métropolitaine, 75003, France",48.86269975,2.3541317040000003
12,12,4th arrondissement de l Hotel de Ville,Saint-Merry,"4th arrondissement de l'Hotel-de-Ville, 13th, Saint-Merri","Saint-Merri,+75004+Paris",48.858266,2.3473697000000002
13,13,4th arrondissement de l Hotel de Ville,Saint-Gervais,"4th arrondissement de l'Hotel-de-Ville, 14th , Saint-Gervais","St+Gervais,+75004+Paris",48.8558122,2.349589
14,14,4th arrondissement de l Hotel de Ville,Arsenal,"4th arrondissement de l'Hotel-de-Ville, 15th , Arsenal","Arsenal,+Paris",48.8503342,2.3553269
15,15,4th arrondissement de l Hotel de Ville,Notre-Dame,"4th arrondissement de l'Hotel-de-Ville, 16th , Notre-Dame","4th+arrondissement+de+l'Hotel-de-Ville,+16th+,+Notre-Dame",48.854079600000006,2.3393502999999995
16,16,5th arrondissement du Pantheon,Quartier Saint-Victor,"5th arrondissement du Pantheon , 17th, Quartier Saint-Victor","St+Victor,+75005+Paris",48.84768820000001,2.3460252
17,17,5th arrondissement du Pantheon,Jardin-des-Plantes,"5th arrondissement du Pantheon , 18th , Jardin-des-Plantes","5th+arrondissement+du+Pantheon+,+18th+,+Jardin-des-Plantes",48.843835799999994,2.3534336
18,18,5th arrondissement du Pantheon,Val-de-Grâce,"5th arrondissement du Pantheon , 19th , Val-de-Grâce","Val-de-Grâce, 5e, Paris, Île-de-France, France métropolitaine, 75005, France",48.84221255,2.3438903769999997
19,19,5th arrondissement du Pantheon,Sorbonne,"5th arrondissement du Pantheon , 20th , Sorbonne","Sorbonne, 5e, Paris, Île-de-France, France métropolitaine, 75005, France",48.84912335,2.34532515
20,20,6th arrondissement du Luxembourg,Monnaie,"6th arrondissement du Luxembourg, 21st, Monnaie","Monnaie, 6e, Paris, Île-de-France, France métropolitaine, 75006, France",48.85458085,2.340154398
21,21,6th arrondissement du Luxembourg,Odeon,"6th arrondissement du Luxembourg, 22nd , Odeon","6th+arrondissement+du+Luxembourg,+22nd+,+Odeon",48.8438344,2.3403014
22,22,6th arrondissement du Luxembourg,Notre-Dame-des-Champs,"6th arrondissement du Luxembourg, 23rd , Notre-Dame-des-Champs",Mairie+du+6e+arrondissement,48.850582,2.3302443
23,23,6th arrondissement du Luxembourg,Saint-Germain-des-Pres,"6th arrondissement du Luxembourg, 24th , Saint-Germain-des-Pres","St-Germain-des-Prés, 6e, Paris, Île-de-France, France métropolitaine, 75006, France",48.85547485,2.333894855
24,24,7th arrondissement du Palais-Bourbon,Saint-Thomas-d'Aquin,"7th arrondissement du Palais-Bourbon , 25th, Saint-Thomas-d'Aquin","7th+arrondissement+du+Palais-Bourbon+,+25th,+Saint-Thomas-d'Aquin",48.854829200000005,2.2939613999999997
25,25,7th arrondissement du Palais-Bourbon,Les Invalides,"7th arrondissement du Palais-Bourbon , 26th , Les Invalides","7th+arrondissement+du+Palais-Bourbon+,+26th+,+Les+Invalides",48.8592217,2.3135748
26,26,7th arrondissement du Palais-Bourbon,Ecole-Militaire,"7th arrondissement du Palais-Bourbon , 27th , Ecole-Militaire",CSFRS+%2F+GeoStrategia+-+�cole+Militaire,48.8525155,2.3013007
27,27,7th arrondissement du Palais-Bourbon,Gros-Caillou,"7th arrondissement du Palais-Bourbon , 28th , Gros-Caillou","7e+Arrondissement+de+Paris,+75007+Paris",48.854829200000005,2.2939613999999997
