,Neighbourhood,African Restaurant,Argentinian Restaurant,Art Gallery,Art Museum,Arts & Crafts Store,Asian Restaurant,Athletics & Sports,Bagel Shop,Bakery,Bar,Beer Bar,Beer Store,Bistro,Boat or Ferry,Bookstore,Brasserie,Brazilian Restaurant,Breakfast Spot,Bridge,Bubble Tea Shop,Burger Joint,Burgundian Restaurant,Café,Cajun / Creole Restaurant,Camera Store,Canal Lock,Candy Store,Cheese Shop,Chocolate Shop,Clothing Store,Cocktail Bar,Coffee Shop,Cosmetics Shop,Creperie,Cultural Center,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Diner,Egyptian Restaurant,Falafel Restaurant,Food & Drink Shop,French Restaurant,Furniture / Home Store,Garden,Gastropub,Gay Bar,Gourmet Shop,Government Building,Gym,Gym / Fitness Center,Harbor / Marina,Health Food Store,Historic Site,Hostel,Hot Dog Joint,Hotel,Ice Cream Shop,Israeli Restaurant,Italian Restaurant,Japanese Restaurant,Jewish Restaurant,Juice Bar,Kids Store,Korean Restaurant,Library,Lingerie Store,Lounge,Lyonese Bouchon,Market,Memorial Site,Men's Store,Metro Station,Miscellaneous Shop,Moroccan Restaurant,Museum,Music Venue,Opera House,Optical Shop,Organic Grocery,Park,Pastry Shop,Pedestrian Plaza,Pizza Place,Plaza,Portuguese Restaurant,Provençal Restaurant,Pub,Record Shop,Restaurant,Salon / Barbershop,Scandinavian Restaurant,Seafood Restaurant,Shoe Store,Southwestern French Restaurant,Spa,Sporting Goods Shop,Steakhouse,Supermarket,Sushi Restaurant,Szechuan Restaurant,Tapas Restaurant,Tea Room,Thai Restaurant,Trail,Vegetarian / Vegan Restaurant,Waterfront,Wine Bar,Wine Shop,Zoo Exhibit
0,Acqua di Parma,0.01,0.0,0.03,0.03,0.0,0.01,0.0,0.0,0.04,0.02,0.01,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.01,0.04,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.1,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.06,0.01,0.01,0.03,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.03,0.03,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
1,Amorino,0.01,0.0,0.03,0.02,0.0,0.01,0.0,0.0,0.04,0.02,0.01,0.01,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.01,0.04,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.12,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.06,0.01,0.01,0.03,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.02,0.03,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.0
2,Au Bouquet Saint Paul,0.0,0.0,0.03,0.01,0.0,0.01,0.0,0.0,0.04,0.02,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.02,0.03,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.17,0.0,0.03,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.0,0.01,0.01,0.0,0.01,0.0,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.03,0.03,0.02,0.0,0.01,0.0,0.02,0.0,0.0
3,Au Petit Thai,0.01,0.0,0.03,0.01,0.0,0.01,0.0,0.0,0.03,0.02,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.02,0.04,0.0,0.02,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.12,0.0,0.03,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.03,0.01,0.03,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.01,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0
4,Ban Sabai,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.03,0.03,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.0,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.0,0.07,0.02,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.04,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0.02,0.02,0.0,0.02,0.0,0.01,0.01,0.0
5,Bistrot de l'Oulette,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.04,0.02,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.15,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.05,0.01,0.0,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.05,0.03,0.0,0.01,0.01,0.0,0.02,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.03,0.01,0.0,0.01,0.0,0.01,0.01,0.0
6,Bistrot des Vosges,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.0,0.01,0.02,0.0,0.02,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.06,0.01,0.0,0.03,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.04,0.03,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.03,0.01,0.0,0.01,0.0,0.02,0.01,0.0
7,Boulangerie Saint-Antoine,0.0,0.0,0.03,0.01,0.0,0.01,0.0,0.0,0.03,0.03,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.14,0.0,0.02,0.02,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.01,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.03,0.04,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.03,0.03,0.03,0.0,0.01,0.0,0.01,0.01,0.0
8,Brasserie Bofinger,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.16,0.0,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.0,0.06,0.02,0.0,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.05,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.01,0.0,0.01,0.0,0.02,0.01,0.0
9,Breakfast in America,0.01,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.01,0.03,0.01,0.02,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.14,0.0,0.03,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.03,0.01,0.04,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.03,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.02,0.0,0.0
