,name,categories,lat,lng
0,Homies,Tapas Restaurant,48.85354190495365,2.364448383450508
1,Le Temps des Cerises,French Restaurant,48.85255362794662,2.364194654389621
2,Sherry Butt,Cocktail Bar,48.85326738634583,2.3641137778759003
3,Keep Cool,Gym,48.85208479878069,2.3633714946624815
4,La Cerise sur la Pizza,Pizza Place,48.8540374685859,2.362342849373817
5,Garde Républicaine,Government Building,48.85144449251261,2.364519420427195
6,Maria Loca,Cocktail Bar,48.852122537323886,2.365666920222009
7,Vins des Pyrénées,French Restaurant,48.85371248516514,2.3644620724780503
8,Le Chanard,French Restaurant,48.8529120567913,2.361544888389472
9,Village Saint-Paul,Pedestrian Plaza,48.85368918749588,2.3615241050720215
10,Café Ginger,Vegetarian / Vegan Restaurant,48.852887,2.367354
11,Le Dindon en Laisse,French Restaurant,48.85320120383447,2.36406147480011
12,Boulangerie Saint-Antoine,Bakery,48.85363271223415,2.365220189094543
13,Pasta Linea,Italian Restaurant,48.85524971348305,2.3634157029409995
14,Pavillon de l'Arsenal,Museum,48.85065016214532,2.362340470390449
15,Chez Margot,French Restaurant,48.85181106403719,2.3645978263169347
16,Au Bouquet Saint Paul,Gastropub,48.854619072894074,2.362799024277326
17,Place du Marché Sainte-Catherine,Plaza,48.85539047488832,2.3628169298171997
18,La Moustache Blanche,Beer Store,48.85452477876369,2.3673031736565684
19,Jardin de Sully,Garden,48.85498719619549,2.3640553433490066
20,Miss Manon,Bakery,48.854654757084475,2.3626185166066054
21,L'Ambroisie,French Restaurant,48.85534,2.364355
22,Les Nautes,Gastropub,48.85223139940081,2.3603063821792603
23,Place des Vosges,Plaza,48.85562342675294,2.365531325340271
24,Gaspard de la Nuit,French Restaurant,48.85410155334177,2.3673950733099174
25,HOTEL DE JOBO,Hotel,48.85543761945354,2.362076401178279
26,Sushi Shop,Sushi Restaurant,48.8540125503199,2.364544483389482
27,Hôtel de Béthune-Sully,Historic Site,48.8549449512819,2.364075696543451
28,Thai Spices,Thai Restaurant,48.85273297322603,2.3603588795363155
29,L'Enoteca,Italian Restaurant,48.853416864533614,2.361671385262398
30,Chez Mademoiselle,Restaurant,48.85429032043008,2.3598099177322163
31,La Mangerie,Tapas Restaurant,48.8557965430479,2.362733014737857
32,Comptoir des Mers,Seafood Restaurant,48.854830682556106,2.3631150284516735
33,Savannah Coffee,Coffee Shop,48.85512471642688,2.3633047154536158
34,Bubar,Wine Bar,48.85395038475273,2.3672452569007874
35,Frog Revolution,Pub,48.853788104716685,2.368305450632397
36,Dammann Frères,Tea Room,48.855861567283824,2.364829753752238
37,Casa San Pablo,Tapas Restaurant,48.85537356647822,2.3619003036424235
38,Amorino,Ice Cream Shop,48.85638977779494,2.364113819785416
39,Grand Hôtel Malher,Hotel,48.85565493925689,2.3610673237119957
40,Maison de Victor Hugo,Historic Site,48.85517319635984,2.3658665866902946
41,L'Area Café,Brazilian Restaurant,48.854247991532944,2.367328600640753
42,Brasserie Bofinger,French Restaurant,48.853914536392324,2.368043214082718
43,Galerie Nikki Diana Marquardt,Art Gallery,48.855395769260916,2.363736927509308
44,Yellow Tucan,Coffee Shop,48.854684,2.367288
45,Fromagerie Laurent Dubois,Cheese Shop,48.854999932727935,2.3620156060434487
46,Carette,Tea Room,48.856304628258506,2.3654937744140625
47,Maison Européenne de la Photographie,Art Museum,48.85512804426985,2.358947843313217
48,La Cidrerie du Marais,French Restaurant,48.85527521296667,2.3618296629469007
49,Le Rusti,Italian Restaurant,48.85414250211515,2.3673939748982593
50,Jardin de l'Hôtel de Sens,Garden,48.85384194954609,2.3584037951179067
51,Hôtel Original Paris,Hotel,48.854696379409795,2.3688413516715108
52,Au Petit Thai,Thai Restaurant,48.855655063264095,2.3601878078479244
53,Hôtel Pavillon de la Reine,Hotel,48.856386591661504,2.366008934683876
54,Place de la Bastille,Plaza,48.85312443201169,2.3691415786743164
55,L'Ardoise 86,Bistro,48.85482,2.362543
56,Pedra Alta,Seafood Restaurant,48.85457343512051,2.3687582449479803
57,Place Saint-Paul,Plaza,48.85540137038666,2.360181672202446
58,Lenôtre,Gourmet Shop,48.85353786385404,2.36701105076752
59,Square Barye,Park,48.850239695733976,2.3596105387349615
60,Monoprix,Supermarket,48.85426853,2.36333073
61,YellowKorner,Art Gallery,48.8567703,2.36360609
62,Khao Thai,Asian Restaurant,48.855679548743396,2.3621634174650668
63,Hôtel Turenne Le Marais,Hotel,48.85508220217492,2.3633378712409416
64,Chocolaterie Joséphine Vannier,Chocolate Shop,48.85590203900677,2.367756939475856
65,Pitzman,Falafel Restaurant,48.855853475354756,2.360295479688141
66,COS,Clothing Store,48.85657238568342,2.3606406149144887
67,Popelini,Pastry Shop,48.85665757876075,2.3642975091934204
68,Metropolitain,French Restaurant,48.8547958687542,2.358438544170859
69,Bistrot de l'Oulette,French Restaurant,48.855543576518954,2.367340331440506
70,L'Éclair de Génie,Pastry Shop,48.856254362311105,2.3606137291477016
71,Chez Janou,Provençal Restaurant,48.85664435397839,2.36724340761729
72,La Mouette Rieuse,Bookstore,48.85670853893964,2.361315623158024
73,Opéra Bastille,Opera House,48.85234082322526,2.3702841997146606
74,Rivolux,Bar,48.85559040054201,2.35941883896175
75,Breakfast in America,Diner,48.855473,2.361279
76,LECLAIREUR Sévigné,Clothing Store,48.85734113331375,2.3632732457190597
77,Vingt Vins d'Art,Wine Bar,48.85521431940058,2.3579396506069488
78,Le Loir dans la Théière,Tea Room,48.85634089988964,2.3610769355582812
79,Ban Sabai,Spa,48.85311840725063,2.367074893874337
80,Les Bonnes Sœurs,French Restaurant,48.85600439835367,2.366941119545712
81,Jardins du Port de l'Arsenal,Park,48.850165408086845,2.368031787395834
82,The Brooklyn Pizzeria,Pizza Place,48.85590797137251,2.3684435626251457
83,Le Piment,Bar,48.85640481174577,2.362565277771221
84,Hôtel des Archevêques de Sens,Historic Site,48.85285088673232,2.3610052051883965
85,Chez Papa,Southwestern French Restaurant,48.85058963699485,2.368768648916627
86,Acqua di Parma,Cosmetics Shop,48.85657993366014,2.3638540722123382
87,Bistrot des Vosges,French Restaurant,48.85569718910249,2.368231639266014
88,Paul,Bakery,48.85484360945126,2.36231713453927
89,Le Moulin de Rosa,Bakery,48.857098833316606,2.364334074850337
90,L'Eléphant du Nil,French Restaurant,48.85539868963803,2.3603315339710873
91,adidas Originals,Sporting Goods Shop,48.8565601,2.3604948
92,Café Hugo,Café,48.8559924395967,2.366606556957324
93,Léon de Bruxelles,Seafood Restaurant,48.85415,2.36863659
94,Café de la Presse,Bar,48.850369460426656,2.368881539619165
95,La Carte des Vins,Wine Shop,48.85581537830124,2.368633369486338
96,Petit Pan,Kids Store,48.85546021238195,2.35904288690604
