,PostalCode,Borough,Neighbourhood,Latitude,Longitude
0,M5H,DowntownToronto,"Adelaide,King,Richmond",43.65057120000001,-79.3845675
1,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002
2,M1V,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",43.8152522,-79.2845772
3,M9V,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown",43.739416399999996,-79.5884369
4,M8W,Etobicoke,"Alderwood,Long Branch",43.60241370000001,-79.54348409999999
5,M3H,NorthYork,"Bathurst Manor,Downsview North,Wilson Heights",43.7543283,-79.4422593
6,M2K,NorthYork,Bayview Village,43.7869473,-79.385975
7,M5M,NorthYork,"Bedford Park,Lawrence Manor East",43.7332825,-79.4197497
8,M5E,DowntownToronto,Berczy Park,43.644770799999996,-79.3733064
9,M1N,Scarborough,"Birch Cliff,Cliffside West",43.692657000000004,-79.2648481
10,M9C,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",43.6435152,-79.57720079999999
11,M6K,WestToronto,"Brockton,Exhibition Place,Parkdale Village",43.6368472,-79.42819140000002
12,M7Y,EastToronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558
13,M3K,NorthYork,"CFB Toronto,Downsview East",43.737473200000004,-79.46476329999999
14,M5V,DowntownToronto,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",43.6289467,-79.3944199
15,M4X,DowntownToronto,"Cabbagetown,St. James Town",43.667967,-79.3676753
16,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
17,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
18,M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999
19,M5G,DowntownToronto,Central Bay Street,43.6579524,-79.3873826
20,M5T,DowntownToronto,"Chinatown,Grange Park,Kensington Market",43.6532057,-79.4000493
21,M6G,DowntownToronto,Christie,43.669542,-79.4225637
22,M4Y,DowntownToronto,Church and Wellesley,43.6658599,-79.38315990000001
23,M1L,Scarborough,"Clairlea,Golden Mile,Oakridge",43.711111700000004,-79.2845772
24,M1T,Scarborough,"Clarks Corners,Sullivan,Tam O'Shanter",43.7816375,-79.3043021
25,M1M,Scarborough,"Cliffcrest,Cliffside,Scarborough Village West",43.716316,-79.23947609999999
26,M9B,Etobicoke,"Cloverdale,Islington,Martin Grove,Princess Gardens,West Deane Park",43.6509432,-79.55472440000001
27,M5L,DowntownToronto,"Commerce Court,Victoria Hotel",43.6481985,-79.37981690000001
28,M4S,CentralToronto,Davisville,43.7043244,-79.3887901
29,M4P,CentralToronto,Davisville North,43.7127511,-79.3901975
30,M4V,CentralToronto,"Deer Park,Forest Hill SE,Rathnelly,South Hill,Summerhill West",43.68641229999999,-79.4000493
31,M6M,York,"Del Ray,Keelesdale,Mount Dennis,Silverthorn",43.6911158,-79.47601329999999
32,M5K,DowntownToronto,"Design Exchange,Toronto Dominion Centre",43.6471768,-79.38157640000001
33,M3B,NorthYork,Don Mills North,43.745905799999996,-79.352188
